idno,name,math,literature,physics,music
27-6234266,Domenic Been,62,71,51,81
32-8500006,Carmel Vondrach,58,62,60,61
46-4848244,Gabey Stanlock,63,51,50,83
40-4452613,Miner Spoure,61,53,55,87
49-8047324,Joanie Padbery,49,60,51,68
06-2459518,Zsazsa Shelford,50,68,62,52
35-7239913,Dallon Besnard,59,70,44,47
63-7712715,Colver Danielkiewicz,70,59,48,78
16-0378773,Lilli Roggerone,47,67,35,67
04-0828998,Philis Habbert,66,65,52,67
84-8664238,Howard Farney,67,46,64,68
59-7103403,Adara Southern,44,68,57,73
50-1336034,Bax Whiles,56,57,41,62
53-0435525,Gerome Skade,60,73,56,82
04-7757095,Janith Lindsay,54,64,50,66
32-2310582,Nathan Tilt,75,82,41,54
49-9767932,Trevor Hoggins,63,54,57,66
47-4087703,Koressa Merrall,64,70,48,86
68-3466140,Hilton Van Vuuren,74,69,44,74
03-9174358,Demetris Yare,57,38,56,75
14-8569680,Malorie Rigden,55,35,47,50
06-1148581,Jeniffer Bisp,51,63,33,69
78-7735038,Libby Shortall,58,61,32,63
33-7615591,Hailey Blomfield,65,55,46,59
01-3377637,Eugenia Mordey,52,49,47,69
01-4681700,Allis Dufour,57,61,60,72
51-8820392,Hercule Whitmore,56,60,43,65
37-8668008,Maure Ditty,65,66,57,68
22-7818285,Roxanne Goare,66,57,17,72
76-9375991,Barb Melin,66,61,49,69
70-9061896,Kellia Turbard,57,60,59,67
09-3064687,Dale O'Lagene,38,65,33,62
93-9984100,Coreen Dongate,38,59,51,62
43-7640441,Chicky Creasy,55,66,50,61
87-1632149,Dane Sharphurst,53,61,60,81
91-1524711,Lory Trafford,63,64,54,61
38-9010265,Sheffield Groucutt,72,68,46,70
30-7706025,Delilah O'Crevy,66,65,49,62
76-7301665,Jennine Sandlin,59,66,47,82
64-2963914,Rosemary Wimbush,46,54,58,82
37-0162523,Adelind Nuzzetti,53,74,50,78
22-7681239,Jackelyn Sergant,68,67,47,56
43-0193918,Wallache Lewton,52,70,45,69
26-4326392,Jacky Zywicki,66,57,54,71
20-7921323,Quincy Killigrew,60,47,47,74
66-4928286,Evangeline Lung,60,60,50,93
05-8898294,Kassia Rumens,41,80,53,83
69-5776987,Leoine Loftin,54,55,40,64
22-9257090,Samson Seabrocke,53,46,51,53
99-5454981,Yvor Alleyn,63,55,37,67
44-0224192,Bobby Gambell,54,66,53,73
68-9308646,Star Breming,46,67,78,51
50-0376646,Lurline Prebble,56,66,47,78
65-9869687,Rufus Faldoe,52,55,65,83
58-5892136,Murry Dahlberg,51,40,48,61
58-9041710,Romonda Doxsey,49,51,46,83
68-1924853,Renaldo Meryett,60,71,77,77
20-1831473,Melvin Sausman,56,61,52,69
87-9366708,Niccolo Strutt,50,62,40,80
55-5355823,Maryjane Gaze,85,65,49,80
74-4852223,Ephrem Bristowe,52,53,57,80
97-3396835,Olenka Vann,46,65,40,66
28-9811319,Udale Hofer,50,55,57,72
97-5732059,Berkley Scrivin,74,49,50,71
59-1040545,Mill Missen,52,60,42,69
76-9653089,Ashley Leinweber,58,55,67,52
95-7144383,Ario Coppock.,69,66,63,74
07-2648873,Junette Djekic,47,59,50,59
61-4075330,Felipa Barizeret,68,64,46,64
53-8300487,Ira Borrie,60,54,45,83
03-8685229,Stevana Champneys,66,64,52,59
05-5021032,Clay Blanckley,59,70,46,68
23-6314763,Rozella Fogarty,61,66,41,66
39-8086678,Elysia MacElharge,68,60,58,64
03-3924804,Lura Streak,63,51,54,67
99-5251959,Tomkin Gaisford,37,63,68,59
30-2245437,Bert Summerscales,58,56,60,65
71-1841974,Patsy Baird,83,72,37,64
76-6232364,Janene Joslyn,59,39,57,67
31-1361522,Charlotta Walburn,67,62,45,56
18-5078355,Anjanette Sherwyn,59,63,55,58
60-4567152,Laughton Pilley,47,56,42,61
04-8522187,Stanford Wellstead,53,48,45,62
78-3494458,Bertie Jerwood,74,57,45,68
99-0226518,Griswold Boycott,51,52,49,62
16-7444172,Lyndell Frankel,67,66,22,65
18-3043555,Whitney Gowdridge,63,43,51,84
49-5302132,Bealle Robbins,66,62,41,73
56-0693856,Ailsun Szach,52,66,50,64
10-3921672,Hurlee Annott,71,60,47,70
80-1973172,Tudor Kiezler,44,61,58,74
02-0087352,Francisco Bambury,57,66,69,65
92-7062565,Keith Firby,51,68,41,74
64-4445589,Chrystel Ewart,78,72,53,60
18-1560214,Brander Durrant,31,69,50,63
91-1396398,Clayson Toma,50,75,62,88
39-5570882,Gallard Burston,60,72,46,72
69-7809678,Tate Pevsner,52,78,55,72
97-5658808,Perice Castri,64,47,60,68
18-4503877,Sophi Magarrell,66,42,65,91
